KDSA	LONG_KDSA	LAT_KDSA	Bogennummer
024/169	18.3333	53.9167	00291
024/171	18.5000	53.9167	00292
024/175	18.8333	53.9167	00298
024/179	19.1667	53.9167	00304
024/181	19.3333	53.9167	02994
024/183	19.5000	53.9167	02999
024/185	19.6667	53.9167	03006
024/187	19.8333	53.9167	03021
024/189	20.0000	53.9167	03022
024/191	20.1667	53.9167	03034
024/193	20.3333	53.9167	03042
024/195	20.5000	53.9167	03043
024/197	20.6667	53.9167	03048
024/199	20.8333	53.9167	03051
024/201	21.0000	53.9167	03057
024/203	21.1667	53.9167	03058
024/217	22.3333	53.9167	03059
024/221	22.6667	53.9167	03060
025/043	 7.8333	53.8333	48241
025/051	 8.5000	53.8333	48242
025/053	 8.6667	53.8333	48247
025/055	 8.8333	53.8333	48252
025/057	 9.0000	53.8333	48266
025/059	 9.1667	53.8333	48272
025/061	 9.3333	53.8333	48962
025/063	 9.5000	53.8333	48974
025/065	 9.6667	53.8333	48983
025/067	 9.8333	53.8333	48990
025/069	10.0000	53.8333	48996
025/071	10.1667	53.8333	49005
025/073	10.3333	53.8333	49011
025/075	10.5000	53.8333	49027
025/077	10.6667	53.8333	49042
025/079	10.8333	53.8333	49054
025/081	11.0000	53.8333	49073
025/083	11.1667	53.8333	49082
025/085	11.3333	53.8333	49099
025/087	11.5000	53.8333	49103
025/089	11.6667	53.8333	49112
025/091	11.8333	53.8333	49123
025/093	12.0000	53.8333	49135
025/095	12.1667	53.8333	49138
025/099	12.5000	53.8333	50514
025/101	12.6667	53.8333	50522
025/103	12.8333	53.8333	50535
025/105	13.0000	53.8333	50539
025/107	13.1667	53.8333	50551
025/109	13.3333	53.8333	50554
025/111	13.5000	53.8333	50562
025/113	13.6667	53.8333	50576
025/115	13.8333	53.8333	50577
025/123	14.5000	53.8333	50580
025/125	14.6667	53.8333	50587
025/127	14.8333	53.8333	50605
025/129	15.0000	53.8333	50610
025/131	15.1667	53.8333	50624
025/133	15.3333	53.8333	00129
