	WORD	COGID	ALIGN
2099	64	1	f l ee sch
2100	94	1	f l e sch
2101	94	1	f l e sch
2102	64	1	f l ee sch
2103	94	1	f l e sch
2104	94	1	f l e sch
2105	94	1	f l e sch
2106	94	1	f l e sch
2107	94	1	f l e sch
2108	94	1	f l e sch
2109	94	1	f l e sch
2110	94	1	f l e sch
2111	94	1	f l e sch
2112	94	1	f l e sch
2113	94	1	f l e sch
2114	94	1	f l e sch
2115	94	1	f l e sch
2116	64	1	f l ee sch
2117	64	1	f l ee sch
2118	64	1	f l ee sch
2119	64	1	f l ee sch
2120	64	1	f l ee sch
2121	94	1	f l e sch
2122	94	1	f l e sch
2123	94	1	f l e sch
2124	63	1	f l ee s
2125	98	1	f l e s k
2126	98	1	f l e s k
2127	98	1	f l e s k
2128	66	1	f l ee s k
2129	98	1	f l e s k
2130	66	1	f l ee s k
2131	84	1	f l ei s k
2132	84	1	f l ei s k
2133	124	1	f l oe s k
2134	34	1	f l äi s k
2135	84	1	f l ei s k
2136	121	1	f l öa s k
2137	34	1	f l äi s k
2138	79	1	f l ei sch
2139	79	1	f l ei sch
2140	79	1	f l ei sch
2141	79	1	f l ei sch
2142	79	1	f l ei sch
2143	79	1	f l ei sch
2144	79	1	f l ei sch
2145	79	1	f l ei sch
2146	79	1	f l ei sch
2147	85	1	f l ei ss
2148	79	1	f l ei sch
2149	79	1	f l ei sch
2150	79	1	f l ei sch
2151	79	1	f l ei sch
2152	79	1	f l ei sch
2153	64	1	f l ee sch
2154	94	1	f l e sch
2155	94	1	f l e sch
2156	94	1	f l e sch
2157	94	1	f l e sch
2158	64	1	f l ee sch
2159	69	1	f l eh sch
2160	64	1	f l ee sch
2161	94	1	f l e sch
2162	64	1	f l ee sch
2163	64	1	f l ee sch
2164	94	1	f l e sch
2165	64	1	f l ee sch
2166	64	1	f l ee sch
2167	64	1	f l ee sch
2168	64	1	f l ee sch
2169	64	1	f l ee sch
2170	64	1	f l ee sch
2171	64	1	f l ee sch
2172	94	1	f l e sch
2173	94	1	f l e sch
2174	94	1	f l e sch
2175	64	1	f l ee sch
2176	94	1	f l e sch
2177	94	1	f l e sch
2178	79	1	f l ei sch
2179	94	1	f l e sch
2180	64	1	f l ee sch
2181	31	1	f l äi sch
2182	63	1	f l ee s
2183	68	1	f l eh s
2184	66	1	f l ee s k
2185	98	1	f l e s k
2186	34	1	f l äi s k
2187	98	1	f l e s k
2188	98	1	f l e s k
2189	70	1	f l eh s k
2190	87	1	f l ei ss k
2191	84	1	f l ei s k
2192	107	1	f l eu s k
2193	130	1	f l öi s k
2194	107	1	f l eu s k
2195	102	1	f l eue s k
2196	79	1	f l ei sch
2197	79	1	f l ei sch
2198	79	1	f l ei sch
2199	79	1	f l ei sch
2200	30	1	f l ai sch
2201	79	1	f l ei sch
